bleu,x,y,z
0.13897895613958927,"The impact of change in the Test match was that India got the first match of the series to play on that pitch, which is called best for batting in Australia.","टेस्ट मैच में बदलाव का प्रभाव रहा था कि भारत सीरीज को उस पिच पर खेलने का पहला मैच मिला , जिससे ऑस्ट्रेलिया के लिए सर्वश्रेष्ठ है ।","टेस्ट मैच के कार्यक्रम में परिवर्तन का असर यह हुआ कि भारत को सीरीज का पहला मैच उस पिच पर खेलने को मिला, जिसे ऑस्ट्रेलिया में बल्लेबाजी के लिए सबसे अच्छी कहा जाता है।"
0.35386375925159974,It was clear on the first day that there is not much bounce in the pitch and the ball is coming well on the bat.,पहले दिन यह स्पष्ट था कि पिच में ज्यादा उछाल नहीं होती और गेंद अच्छे से बल्ले पर आ रही है ।,पहले दिन ही यह स्पष्ट हो गया था कि पिच में ज्यादा उछाल नहीं है और गेंद बल्ले पर अच्छी तरह आ रही है।
0.24305650182597577,"Three batsmen scored centuries from Australia, the special thing is that the three batsmen were from New South Wales, from where Philip Hughes was also.","फाफ के तीन बल्लेबाजों ने ऑस्ट्रेलिया से शतक जड़ा था , खास बात यह है कि तीनों बल्लेबाजों से सजी लापरवाही से प्रभावित हो गया था ।","ऑस्ट्रेलिया की तरफ से तीन बल्लेबाजों ने शतक जड़े, खास बात यह है कि तीनों बल्लेबाज न्यू साउथ वेल्स से थे, जहां से फिलिप ह्यूज भी थे।"
0.1391231164417657,"Indian batsmen had to face the dangerous trio of Johnson, Siddle and Harris.",भारतीय बल्लेबाजों ने जॉनसन के खतरनाक लेंथ का सामना करना शुरू कर दिया ।,"भारतीय बल्लेबाजों को जॉनसन, सिडल और हैरिस की खतरनाक तिकड़ी का सामना करना था।"
0.24446151121745052,Dhawan's reaction was offensive.,एबी डिविलियर्स की प्रतिक्रिया आक्रामक थी ।,धवन की प्रतिक्रिया आक्रामक थी।
0.16622244120866023,It seemed that he was trying to replicate the fastest century in his debut Test in Mohali against this opposition team.,ऐसा लग रहा था कि वह इस विपक्षी टीम के खिलाफ उनके पदार्पण टेस्ट में सबसे तेज शतक बनाते हैं ।,ऐसा लगा कि वह इसी विपक्षी टीम के खिलाफ मोहाली में खेले अपने पदार्पण टेस्ट में लगाए गए सबसे तेज शतक को दोहराने की कोशिश कर रहे थे।
0.07689867234552877,"The only difference was that the ball here was moving more than Mohali, and this was the reason behind his dismissal.",केवल बाकी कि गेंद को पिच से ज्यादा टर्न मिल रही थी और यह वजह उनके आउट हो गया ।,फर्क सिर्फ इतना था कि यहां गेंद मोहाली की तुलना में कुछ ज्यादा मूव कर रही थी और यही उनके आउट होने की वजह भी बनी।
0.19835441454182887,Murali Vijay continued to impress and Pujara also managed to play a good innings.,मुरली विजय ने समझदारी से बातचीत की कोशिश की और पुजारा को भी अच्छी पारी खेलने में आसानी होगी ।,मुरली विजय ने प्रभावित करना जारी रखा और पुजारा भी एक अच्छी पारी खेलने में कामयाब रहे।
0.11014304220890901,"Like Kohli, Pujara's England tour was not less than a forgotten dream.",कोहली की तरह पुजारा की इंग्लैंड को नुकसान से कम नहीं था ।,कोहली की ही तरह पुजारा का भी इंग्लैंड दौरा किसी भुला देने वाले सपने से कम नहीं रहा था।
0.14046714401387464,His innings became clear that during the intervening period he worked hard on his batting.,सीमित ओवरों के दौरान उनकी बल्लेबाजी को देखते हुए साफ हो गया कि उस दौरान ।,उनकी पारी से यह साफ हो गया कि बीच की अवधि में उन्होंने अपनी बल्लेबाजी पर कड़ी मेहनत की।
0.05330272891076073,The bat was very close to his body while playing and his bowel movement was also high when he was playing forward.,अपने शरीर के खेलने के लिए बेहद करीब था और उनकी विफलता भी तब जब वह आगे रहे थे तब वह आगे रहे थे ।,खेलते वक्त बल्ला उनके शरीर के बहुत करीब रह रहा था और जब भी फॉरवर्ड होकर खेल रहे थे तो उनके शरीर का झुकाव भी अधिक था।
0.04065425428798724,Being unable to score a century can also be a bit disappointing.,शतक लगाने वालों की ओर से एक शतक भी थोड़ा निराशाजनक है ।,शतक नहीं बना पाने से वह भी थोड़े निराश होंगे।
0.1673872929477023,"Even after the first ball hit the helmet, Kohli did not panic and scored a glorious century.",पहले गेंद फेंकने के बाद भी कोहली ने बुरा प्रदर्शन नहीं किया और एक शानदार शतक लगाया ।,पहली ही गेंद जोरदार तरीके से हेलमेट पर लगने के बाद भी कोहली नहीं घबराए और शानदार शतक जड़ा।
0.15777191181545203,"With this, he also sent the message in the Australian camp that the Indian team is not going to step back.",इसके साथ ही ऑस्ट्रेलियाई टीम में भी उन्होंने संदेश दिया कि भारतीय टीम जल्द ही एकजुट दिख रही है ।,इसके साथ उन्होंने ऑस्ट्रेलियाई खेमे में यह संदेश भी भेज दिया कि भारतीय टीम अपने कदम पीछे नहीं करने वाली है।
0.1796520559815421,Rahane will also be a bit disappointed.,रहाणे भी थोड़ा निराश होंगे ।,रहाणे भी थोड़े निराश होंगे।
0.06150343144231885,He could not even convert a good half-century into a century.,"वह एक अच्छे टेस्ट शतक भी लगा सकते थे , एक शतक भी उन्हें मिला ।",वह भी एक अच्छे अर्धशतक को शतक में तब्दील नहीं कर सके।
0.10159011361935112,"Now if Rohit Sharma retains his temper, then he can prove that he has the potential to play long innings in Test cricket as well as in Test cricket.",अब रोहित शर्मा अपनी बेंच पर खरा उतर सकते हैं तो वह टेस्ट क्रिकेट में लंबी पारी खेलने की क्षमता रखते हैं ।,अब अगर रोहित शर्मा ने अपना संयम बनाए रखा तो वह साबित कर सकते हैं कि वनडे क्रिकेट के साथ-साथ टेस्ट क्रिकेट में भी वह लंबी पारी खेलने का माद्दा हैं।
0.22398041474412062,This is indeed a strong answer and India should try to bat for much longer.,यह केवल एक मजबूत कप्तानों का है और भारत को ज्यादा लंबे समय तक बल्लेबाजी करना चाहिए ।,यह वास्तव में एक मजबूत जवाब है और भारत को ज्यादा से ज्यादा देर तक बल्लेबाजी करने की कोशिश करनी चाहिए।
0.07066271462409685,This will give India the chance to land on the field with a psychological edge in the remaining series.,इससे भारत को बाकी बढ़त पर टिकने का मौका मिलेगा ।,इससे शेष सीरीज में एक मनोवैज्ञानिक बढ़त के साथ मैदान पर उतरने का मौका भारत को मिलेगा।
0.6606328636027614,Click here for other cricket news,क्रिकेट से जुड़ी अन्य खबरों के लिए यहां क्लिक करें,क्रिकेट की अन्य खबरों के लिए यहां क्लिक करें
0.10682175159905853,(Gavaskar's column),( गावस्कर का कॉलम ),(गावस्कर का कॉलम)
0.033495035708457785,"In the end, India's edge for the committed Sri Lankan team proved to be a lot more.",अंत में भारत का पलड़ा मजाक साबित हो गया ।,आखिर में प्रतिबद्ध श्रीलंकाई टीम के लिए भारत की बढ़त कुछ ज्यादा ही साबित हुई।
0.0779149760859135,"For the second time in the series, India scored more than 600 runs.",दूसरे समय में भारत ने आयरलैंड से ज्यादा रन बनाए ।,सीरीज में लगातार दूसरी बार भारत ने 600 रनों से ज्यादा का स्कोर खड़ा किया।
0.2927655478880621,"After being dismissed for 183 in the first innings, Sri Lanka tried to do the best with two partnerships in the second innings, but they knew that they could only avoid the result for some time and to help save the match, Will be needed.","पहले पहली पारी में पराजय के आउट होने के बाद श्रीलंका ने दूसरे पारी में दो सौ स्टाइल से गेंदबाजी की , लेकिन उन्हें पता था कि वे सिर्फ कुछ समय से हारते हैं और मैच को फिनिश करने के लिए सिर्फ एक समय आगे ले सकें ।","पहली पारी में 183 रनों पर आउट होने के बाद श्रीलंका ने दूसरी पारी में दो साझेदारी के बूते सर्वश्रेष्ठ करने की कोशिश की, लेकिन उन्हें पता था कि वे सिर्फ परिणाम को कुछ समय के लिए टाल सकते हैं और मैच बचाने के लिए उन्हें मौसम की मदद की जरूरत होगी।"
