bleu,x,y,z
0.02715680403931928,बैंगलोर के लिए मौजूदा आइपीएल का पहला मैच खेल रहे पार्थिव पटेल ने शानदार अर्धशतक जमाते हुए 53 रन बनाए।,"Virat won the first match of the IPL for Bangalore , gave Parthiv Patel the first half - century of IPL","Parthiv Patel, playing his first IPL match for Bangalore, scored a brilliant half-century to score 53 runs."
0.10343603005129705,इस पारी में पटेल के बल्ले से पांच चौके और 2 छक्के निकले।,"In this innings , Patel ' s bat could be played in the five innings .",In this innings Patel's bat yielded five boundaries and two sixes.
0.0,IPL की खबरों के लिए यहां क्लिक करें,Tsman wants to make the sun fall,Click here for IPL news
0.06274655310994741,आइपीएल का पूरा शेड्यूल देखने के लिए यहां क्लिक करें,The English blow to the introduction of the IPL,Click here to view full schedule of IPL
0.08116697886877472,सस्ते में लौटे दिग्गज,Michelle McLaughne in the middle order,Giant returned in cheap
0.0,धुरंधर बल्लेबाज़ी से सजी बैंगलोर की टीम का कोई भी दिग्गज बल्लेबाज़ बड़ा स्कोर नहीं बना सका।,The secret to open the leadership of Bangalore team,"Any legendary batting batsman from Bangalore, who was battered with a bat, could not make a big score."
0.06916141792551135,"मैक्कुलम 05 रन, विराट कोहली 08 रन और डिविलियर्स 01 रन बनाकर आउट हो गए।","King Kohli , Virat Kohli and AB Challengers Bangalore run out","McCullum scored 05 runs, Virat Kohli scored 08 and De Villiers scored 1."
0.11598118436136108,क्रिकेट की खबरों के लिए यहां क्लिक करें,Perisision for Yorkshire,Click here for cricket news
0.08170609724417771,अन्य खेलों की खबरों के लिए यहां क्लिक करें,Markandey news for the umpire ;,Click here for news of other sports
0.15973577606156814,"नई दिल्ली, जेएनएन।","Number o , JNN","New Delhi, JNN"
0.2872797668292002,आइपीएल का 26वां मुकाबला दिल्ली डेयरडेविल्स और कोलकाता नाइटराइडर्स के बीच फिरोजशाह कोटला मैदान पर खेला गया।,The English match of the IPL Season 11 was played between Delhi Daredevils and Kolkata Knight Riders on Saturday .,IPL's 26th match was played on the Feroz Shah Kotla ground between Delhi Daredevils and Kolkata Knight Riders.
0.02946837805727687,नए नवेले कप्तान की अगुवाई में दिल्ली ने बार के सिलसिले को तोड़ को हुए जीत दर्ज की।,Delhi has won the trophy of new captain : Delhi,"In the lead of the new Naval captain, Delhi defeated the series of bars, winning the break."
0.44632361378533286,दिल्ली की टीम ने कोलकाता को 55 रन से मात दी।,The umpires of Delhi beat Kolkata by 55 runs,Delhi's team beat Kolkata by 55 runs
0.11797452162512975,लेकिन दिल्ली की टीम की ये जीत उसके एक गेंदबाज़ की वजह से थोड़ी फीकी हो गई।,"It was the minister that of the victory of Delhi team , did you come to win",But the victory of the Delhi team became a little bit faint because of one of his bowlers.
0.0,आवेश और मावी को पड़ी फटकार,Could not out and Shivam Mavi,Rave
0.12584834793909203,इस मैच के बाद दिल्ली के तेज़ गेदबाज़ आवेश खान और कोलकाता नाइट राइडर्स के गेंदबाज़ी शिवम मावी को आइपीएल कोड ऑफ कंडक्ट के उल्लंघन का दोषी पाया गया।,"After this match , Vettori Khan and Kolkata Knight Riders have been runner up of the IPL by defeating Kolkata Knight Riders by 55 runs .","After this match, Delhi's pace spearhead Harbhajan Singh and Kolkata Knight Riders bowler Shivam Mavi were found guilty of violating the IPL Code of Conduct."
0.04480836160121356,मैच के दौरान हुई दो अलग-अलग घटनाओं के लिए इन खिलाड़ियों को दोषी पाया गया है।,"During the end of the match , the players have to play in the middle - a match .",These players have been found guilty for two separate incidents during the match.
0.041590395790155485,"आइपीएल ने जारी अपने एक बयान में कहा कि, मावी और आवेश खान को खिलाड़ियों और टीम के लिए बने आइपीएल कोड ऑफ कंडक्ट के लेवल वन के 2.1.7 के उल्लंघन का दोषी पाया गया है।","The secret to reach the IPL on its one time of IPL , it is necessary to be part of the IPL ' s death .","In a statement issued by the IPL, I said that Mavi and Prashur Khan have been found guilty of violating Level I of 2.1.7 of the IPL Code of Conduct for the players and the team."
0.06567274736060397,दोनों ने इसे मान लिया है।,Markandey have done something like this .,Both of them have accepted it.
0.04661841620661269,IPL टूर्नामेंट में पृथ्वी शॉ और शिवम मावी समेत इन 23 खिलाड़ियों पर BCCI की करीबी नजर,Batsman who made the fastest time in IPL tournament,"BCCI's close look at these 23 players, including Prithvi Shaw and Shivam Mavi in the IPL tournament"
0.0,यह भी पढ़ें,Not still ?,Also read
0.0,IPL की खबरों के लिए यहां क्लिक करें,Tsman wants to make the sun fall,Click here for IPL news
0.06274655310994741,आइपीएल का पूरा शेड्यूल देखने के लिए यहां क्लिक करें,The English blow to the introduction of the IPL,Click here to view full schedule of IPL
0.1135935489027116,दिल्ली के गेंदबाद आवेश खान ने आंद्रे रसेल को आउट करने के बाद अपशब्द कहे।,"Clouds of crisis out of Delhi , Andre Russell was out after being out",Delhi's bowling ambush khan said abusive after Andre Russell was dismissed.
0.0,इसलिए आइपीएल ने उन्हें कोड ऑफ कंडक्ट के उल्लंघन का दोषी पाया।,So you have done them to make them to handle,That's why IPL found guilty of violating code of conduct.
