ay,bleu_ay,bleu_iy,iy,x,z,dblue
"टेस्ट मैच में बदलाव का प्रभाव यह हुआ कि भारत को उस पिच पर खेलने का पहला मैच मिला है , जो ऑस्ट्रेलिया में बल्लेबाजी के लिए सर्वश्रेष्ठ कहा जाता है ।",0.34403827851962804,0.13397257900155127,"टेस्ट मैच में बदलाव के प्रभाव का प्रभाव यह लग रहा था कि भारत सीरीज का पहला मैच खेल गया , जिस पर बल्लेबाजी के लिए ऑस्ट्रेलिया के लिए सर्वश्रेष्ठ रहा ।","The impact of change in the Test match was that India got the first match of the series to play on that pitch, which is called best for batting in Australia.","टेस्ट मैच के कार्यक्रम में परिवर्तन का असर यह हुआ कि भारत को सीरीज का पहला मैच उस पिच पर खेलने को मिला, जिसे ऑस्ट्रेलिया में बल्लेबाजी के लिए सबसे अच्छी कहा जाता है।",0.21006569951807677
पहले दिन यह साफ हो गया कि पिच में ज्यादा उछाल नहीं है और गेंद अच्छी तरह से बल्ले पर आ रही है ।,0.454894196600773,0.4402007427762871,पहले दिन यह साफ हो गया था कि पिच में ज्यादा उछाल नहीं होती और गेंद अच्छे से बल्ले पर आ रही है ।,It was clear on the first day that there is not much bounce in the pitch and the ball is coming well on the bat.,पहले दिन ही यह स्पष्ट हो गया था कि पिच में ज्यादा उछाल नहीं है और गेंद बल्ले पर अच्छी तरह आ रही है।,0.014693453824485891
"ऑस्ट्रेलिया की तरफ से तीन बल्लेबाजों ने शतक लगाए , खास बात ये है कि तीन बल्लेबाज न्यू साउथ वेल्स की तरफ से थे , जहां फिलिप ह्यूज भी ।",0.39416223381555254,0.0617786518585955,"तीन बल्लेबाज शतक लगाने वाले ऑस्ट्रेलिया के साथ शतक बना चुके हैं , इसी बात से यह बात तो है कि तीनों के तीन बल्लेबाज भी न्यूजीलैंड के नाम थे ।","Three batsmen scored centuries from Australia, the special thing is that the three batsmen were from New South Wales, from where Philip Hughes was also.","ऑस्ट्रेलिया की तरफ से तीन बल्लेबाजों ने शतक जड़े, खास बात यह है कि तीनों बल्लेबाज न्यू साउथ वेल्स से थे, जहां से फिलिप ह्यूज भी थे।",0.33238358195695705
"भारतीय बल्लेबाजों को जॉनसन , सिडल और हैरिस .",0.17125081678676496,0.1861028050495244,"भारतीय बल्लेबाजों को जॉनसन , कुलशेखरा और यूनिवर्सिटी का सामना करना पड़ा ।","Indian batsmen had to face the dangerous trio of Johnson, Siddle and Harris.","भारतीय बल्लेबाजों को जॉनसन, सिडल और हैरिस की खतरनाक तिकड़ी का सामना करना था।",-0.014851988262759436
धवन की प्रतिक्रिया आक्रामक थी ।,0.5081327481546147,0.09652434877402241,धवन का प्रतिक्रिया लाजवाब था ।,Dhawan's reaction was offensive.,धवन की प्रतिक्रिया आक्रामक थी।,0.41160839938059235
ऐसा लग रहा था कि वह इस विपक्षी टीम के खिलाफ अपने डेब्यू टेस्ट में सबसे तेज शतक जड़ने की कोशिश करने की कोशिश कर रहे थे ।,0.2425232850823366,0.20859601745555556,ऐसा लग रहा था कि मोहाली के खिलाफ अपने पदार्पण टेस्ट में तेज शतक की शुरुआत करने की कोशिश कर रहे थे ।,It seemed that he was trying to replicate the fastest century in his debut Test in Mohali against this opposition team.,ऐसा लगा कि वह इसी विपक्षी टीम के खिलाफ मोहाली में खेले अपने पदार्पण टेस्ट में लगाए गए सबसे तेज शतक को दोहराने की कोशिश कर रहे थे।,0.03392726762678103
फर्क सिर्फ इतना था कि यहां गेंद मोहाली से ज्यादा की जा रही थी और उनके आउट होने के पीछे यही वजह रही ।,0.38622895160911697,0.12686312340842634,सिर्फ इतना ही यह रहा कि यहां गेंद मोहाली से ज्यादा उछली थी और उसके पीछे यह वजह थी ।,"The only difference was that the ball here was moving more than Mohali, and this was the reason behind his dismissal.",फर्क सिर्फ इतना था कि यहां गेंद मोहाली की तुलना में कुछ ज्यादा मूव कर रही थी और यही उनके आउट होने की वजह भी बनी।,0.25936582820069065
मुरली विजय काफी प्रभावित करते रहे और पुजारा एक अच्छी पारी खेलने में भी कामयाब रहे ।,0.2948993986902436,0.23827376217791343,मुरली विजय ने संयमित और पुजारा को भी अच्छी पारी खेलने में सफल रहे ।,Murali Vijay continued to impress and Pujara also managed to play a good innings.,मुरली विजय ने प्रभावित करना जारी रखा और पुजारा भी एक अच्छी पारी खेलने में कामयाब रहे।,0.056625636512330185
कोहली की तरह पुजारा की इंग्लैंड दौरे एक भूल जाने सपने से कम नहीं था ।,0.17662808265513316,0.15138912051097406,कोहली की तरह पुजारा का इंग्लैंड दौरे पर किसी तोहफे से कम नहीं था ।,"Like Kohli, Pujara's England tour was not less than a forgotten dream.",कोहली की ही तरह पुजारा का भी इंग्लैंड दौरा किसी भुला देने वाले सपने से कम नहीं रहा था।,0.025238962144159105
उनकी पारी साफ हो गई कि दीवानगी के दौरान उन्होंने अपनी बल्लेबाजी पर कड़ी मेहनत की ।,0.3240220869485148,0.2978808647663532,उनकी पारी स्पष्ट होती है कि सर्दी के दौरान उन्होंने अपनी बल्लेबाजी पर कड़ी मेहनत की ।,His innings became clear that during the intervening period he worked hard on his batting.,उनकी पारी से यह साफ हो गया कि बीच की अवधि में उन्होंने अपनी बल्लेबाजी पर कड़ी मेहनत की।,0.026141222182161583
