bleu,x,y,z
0.08295193507109859,a black box in your car ?,तुम्हारे कार में काले बक्से का एक काला पैकेट है ?,आपकी कार में ब्लैक बॉक्स ?
0.028239559240991266,"as america ' s road planners struggle to find the cash to mend a crumbling highway system , many are beginning to see a solution in a little black box that fits neatly by the dashboard of your car .","जैसे - जैसे हम अपनी मोटर - रील की सहायता करते हैं , यह देखकर कि यह एक छोटी - सी घटना के लिए घातक सिद्ध हो रहा है , यह देखकर कि यह एक छोटी - सी काली - सी दूरबीन से देखने की कोशिश कर रहा है ।","जबकि अमेरिका के सड़क योजनाकार , ध्वस्त होते हुए हाईवे सिस्टम को सुधारने के लिए धन की कमी से जूझ रहे हैं , वहीं बहुत - से लोग इसका समाधान छोटे से ब्लैक बॉक्स में देख रहे हैं , जो आपकी कार के डैशबोर्ड पर सफ़ाई से फिट हो जाता है ।"
0.06608942052355564,"the devices , which track every mile a motorist drives and transmit that information to bureaucrats , are at the center of a controversial attempt in washington and state planning offices to overhaul the outdated system for funding america ' s major roads .",इस बात की पूर्ति की जाती है कि इस बात की संभावना नहीं है कि सड़कों पर आने वाले प्रत्येक पहाड़ी की सड़कों पर आने वाली प्रत्येक उड़ान के लिए एक विवादास्पद प्रयास किया जाता है और इस बात की पुष्टि होती है कि इस बात की पुष्टि की जा सके ।,"यह डिवाइस , जो मोटर - चालक द्वारा वाहन चलाए गए प्रत्येक मील को ट्रैक करती है तथा उस सूचना को अधिकारियों को संचारित करती है , आजकल अमेरिका की प्रमुख सड़कों का वित्त - पोषण करने के लिए पुराने हो चुके सिस्टम का जीर्णोद्धार करने के लिए वाशिंगटन और राज्य नियोजन कार्यालय के लिए एक विवादास्पद प्रयास का मुद्दा बन चुका है ।"
0.0369505028814635,the usually dull arena of highway planning has suddenly spawned intense debate and colorful alliances .,साधारणतया इस प्रकार के राजमार्ग नियोजन की तीव्र चर्चा की जाती है ।,आम तौर पर हाईवे नियोजन जैसा उबाऊ काम भी अचानक गहन बहस तथा जीवंत गठबंधनों का मुद्दा बन गया है ।
0.027048501134647275,"libertarians have joined environmental groups in lobbying to allow government to use the little boxes to keep track of the miles you drive , and possibly where you drive them - then use the information to draw up a tax bill .",इस बात की पुष्टि की गई है कि इस बात की पूर्ति की जा सकती है कि इस बात की पूर्ति की जा सके कि इस बात की पूर्ति की जा सके कि ऐसी स्थिति को दूर करने की अनुमति दें ।,"आपने द्वारा ड्राइव किए गए मील , तथा संभवतः ड्राइव किए गए स्थान का विवरण रखने - और फिर इस सूचना का उपयोग टैक्स बिल तैयार करने के लिए - सरकार को इन ब्लैक बॉक्स का उपयोग करने की अनुमति देने के पक्ष में समर्थन जुटाने के लिए लिबरेटेरियन पर्यावरणीय समूहों के साथ मिल गए हैं ।"
0.09578464408619825,the tea party is aghast .,चाय पार्टी के साथ चाय पार्टी का काम चल रहा है ।,चाय पार्टी भौचक्की है ।
0.05439330544349821,"the american civil liberties union is deeply concerned , too , raising a variety of privacy issues .",इस बात की पुष्टि की गई है कि यह सिविल स्वतंत्रता की स्वतंत्रता भी काफी है ।,अमेरिकी नागरिक स्वतंत्रता संघ भी विभिन्न प्रकार के गोपनीयता मुद्दे उठाते हुए बहुत चिंतित है ।
0.05486024359355534,"and while congress can ' t agree on whether to proceed , several states are not waiting .","इस बात से इन्कार नहीं किया जा सकता कि जब कांग्रेस आगे बढ़ रही है , तब कई राज्यों की प्रतीक्षा नहीं की जा सकती ।","जबकि कांग्रेस इस बात पर सहमत नहीं हो सकी कि आगे की कार्यवाही करनी है या नहीं , बहुत से राज्य प्रतीक्षा नहीं कर रहे ।"
0.26987912987623575,"they are exploring how , over the next decade , they can move to a system in which drivers pay per mile of road they roll over .","वे इस बात की खोज कर रहे हैं कि अगले दशक में वे कैसे चल रहे हैं , वे इस बात की खोज कर रहे हैं कि अगले दशक में वे किस प्रकार सड़कों पर पहुंच सकते हैं ।","वे यह खोज कर रहे हैं कि अगले दशक में वे किस तरह से ऐसी प्रणाली में जा सकते हैं , जिसमें चालक सड़क पर तय किए गए प्रत्येक मील के लिए भुगतान करे ।"
0.02067074741804136,"thousands of motorists have already taken the black boxes , some of which have gps monitoring , for a test drive .",हजारों में से कुछ तो काले बक्से ही ले चुके हैं ।,"हजारों मोटर - चालकों ने टेस्ट ड्राइव के लिए पहले ही ब्लैक बॉक्स ले लिया है , जिसमें से कुछ में जी . पी . एस . मॉनीटरिंग है ।"
0.1455564188390808,this really is a must for our nation .,यह वास्तव में हमारे राष्ट्र के लिए अनिवार्य है ।,यह हमारे देश के लिए वास्तव में अनिवार्य वस्तु है ।
0.0037233528091161813,""" it is not a matter of something we might choose to do , "" said hasan ikhrata , executive director of the southern california assn . of governments , which is planning for the state to start tracking miles driven by every california motorist by 2025 .",यह एक ऐसा मुद्दा नहीं है जो सरकार के सामने की गई थी ।,""" यह हमारे द्वारा चुने या नहीं चुने जाने का विषय नहीं है "" यह कहना है हसन इखराता का जो दक्षिण कैलीफोर्निया सरकार संघ के कार्यकारी निदेशक हैं , जो वर्ष 2025 तक कैलीफोर्निया में मोटर - चालकों द्वारा तय किए गए प्रत्येक मील को ट्रैक करने की शुरुआत करने की योजना बना रहा है ।"
0.041886939541554154,there is going to be a change in how we pay these taxes .,इन करों में परिवर्तन कैसे होगा ?,हमारे द्वारा कर भुगतान किए जाने के तरीके में परिवर्तन होने जा रहा है ।
0.092875289995668,the technology is there to do it .,प्रौद्योगिकी को प्रौद्योगिकी की प्रौद्योगिकी का काम करना है ।,ऐसा करने के लिए प्रौद्योगिकी है ।
0.020139807294759133,"the push comes as the country ' s highway trust fund , financed with taxes americans pay at the gas pump , is broke .",देश की इस राजमार्ग - संपदा को पूरा करने में विश्वास होता है ।,"ऐसा होने का मुख्य कारण यह है कि देश का हाईवे ट्रस्ट फ़ंड लगभग दिवालिया हो गया है , जिसका वित्त - पोषण अमेरिकी नागरिकों द्वारा गैस पम्प पर किए जाने वाले करों के भुगतान से होता है ।"
0.1092329990819115,americans don ' t buy as much gas as they used to .,इससे कहीं अधिक गैस नहीं खरीदती ।,अमेरिकी लोग अब पहले जितनी गैस नहीं खरीदते ।
0.0567967744513558,cars get many more miles to the gallon .,मोटर - गाडियों के पास कई - कई मीलों तक पहुंच जाता है ।,अब एक गैलन गैस में कार पहले से अधिक मील चलती है ।
0.047218538029086245,"the federal tax itself , 18 . 4 cents per gallon , hasn ' t gone up in 20 years .",इस प्रकार 20 वर्षों तक संघीय कर स्वयं संघात्मक हो जाता है ।,"फेडरल टैक्स में पिछले 20 वर्षों में कोई बढ़ोतरी नहीं हुई , जो 18 . 4 सेंट प्रति गैलन है ।"
0.052540676025054044,politicians are loath to raise the tax even one penny when gas prices are high .,जब गैस की कीमतों में वृद्धि होती है तब तक एक बार भी वह कर देने वाले हैं ।,गैस के उच्च मूल्य होने के कारण राजनेता टैक्स में एक पैसा भी वृद्धि करने से परहेज करते हैं ।
0.04928854007377984,""" the gas tax is just not sustainable , "" said lee munnich , a transportation policy expert at the university of minnesota .",यह गैस अब भी स्थायी नहीं है ।,"मिनेसोटा विश्वविद्यालय में परिवहन नीति विशेषज्ञ ली मुनिख कहते हैं , "" गैस कर बिल्कुल संवहनीय नहीं है । """
0.07206896870946376,his state recently put tracking devices on 500 cars to test out a pay - by - mile system .,अभी हाल ही में उनकी राज्य - व्यवस्था ने पाँच - पाँच कारों से जिरह की ।,उनके राज्य ने प्रति - मील भुगतान प्रणाली का परीक्षण करने के लिए हाल ही में 500 कारों में ट्रैकिंग डिवाइस लगाई है ।
0.01672612571673144,""" this works out as the most logical alternative over the long term , "" he said .",यह काम बहुत अधिक तर्कसंगत है ।,"वे कहते हैं , "" दीर्घकाल में यह सबसे अधिक तर्कपूर्ण विकल्प के रूप में काम करेगा । """
0.033864985683445356,wonks call it a mileage - based user fee .,उलझन का कारण यह है कि यह एक उपधारित वैद्य है ।,वॉन्क्स इसे माइलेज - आधारित उपयोगकर्ता शुल्क कहते हैं ।
0.06847571055304734,"it is no surprise that the idea appeals to urban liberals , as the taxes could be rigged to change driving patterns in ways that could help reduce congestion and greenhouse gases , for example .",यह आश्चर्य की बात नहीं कि इस बात की पुष्टि नहीं की जा सकती कि इस विचार की पुष्टि की जा सकती है कि इस विचार की पुष्टि की जा सकती है ।,"यह आश्चर्य की बात नहीं है कि यह विचार शहरी उदारवादियों को अच्छा लग रहा है , क्योंकि इससे , उदाहरण के लिए कार चलाने के तौर - तरीके में परिवर्तन करने के लिए करों में बदलाव किया जा सकता है , जो जाम कम करने तथा ग्रीनहाउस गैस कम करने में सहायता कर सकता है ।"
