bleu,x,y,z
0.1796520559815421,a black box in your car ?,अपने कार में काली बक्सा ?,आपकी कार में ब्लैक बॉक्स ?
0.034236553427864955,"as america ' s road planners struggle to find the cash to mend a crumbling highway system , many are beginning to see a solution in a little black box that fits neatly by the dashboard of your car .","जैसे - जैसे के सड़क की दुकान का सामना करने के लिए सड़क की आवश्यकता का सामना करना पड़ता है , इनमें से कई लोग अपने कार के साथ एक काली बॉक्स में प्रवेश कर रहे हैं ।","जबकि अमेरिका के सड़क योजनाकार , ध्वस्त होते हुए हाईवे सिस्टम को सुधारने के लिए धन की कमी से जूझ रहे हैं , वहीं बहुत - से लोग इसका समाधान छोटे से ब्लैक बॉक्स में देख रहे हैं , जो आपकी कार के डैशबोर्ड पर सफ़ाई से फिट हो जाता है ।"
0.04092085059731778,"the devices , which track every mile a motorist drives and transmit that information to bureaucrats , are at the center of a controversial attempt in washington and state planning offices to overhaul the outdated system for funding america ' s major roads .","इन उपकरणों को पूरा करने वाले उपकरणों , जो प्रत्येक निर्माण को दर्शाता है और इस बात पर नजर रखता है कि वे अपने आप को बाधित कर रहे हैं और इसे बाधित करने के लिए किसी भी प्रकार के अपहरण और राज्य की योजना कार्यालय में उपलब्ध है ।","यह डिवाइस , जो मोटर - चालक द्वारा वाहन चलाए गए प्रत्येक मील को ट्रैक करती है तथा उस सूचना को अधिकारियों को संचारित करती है , आजकल अमेरिका की प्रमुख सड़कों का वित्त - पोषण करने के लिए पुराने हो चुके सिस्टम का जीर्णोद्धार करने के लिए वाशिंगटन और राज्य नियोजन कार्यालय के लिए एक विवादास्पद प्रयास का मुद्दा बन चुका है ।"
0.0959248989489875,the usually dull arena of highway planning has suddenly spawned intense debate and colorful alliances .,आम तौर पर राजमार्ग की योजना को अचानक से अधिक गहन कर दिया गया है और रंगियजनक नैननी ।,आम तौर पर हाईवे नियोजन जैसा उबाऊ काम भी अचानक गहन बहस तथा जीवंत गठबंधनों का मुद्दा बन गया है ।
0.03775921329394936,"libertarians have joined environmental groups in lobbying to allow government to use the little boxes to keep track of the miles you drive , and possibly where you drive them - then use the information to draw up a tax bill .","स्मोन के साथ - साथ यह सरकारी क्षेत्र को कम करने के लिए पर्यावरण के क्षेत्र में प्रवेश कर रहा है , और जहां आपको वहाँ की जा रही है वहां से आप कर सकते हैं ।","आपने द्वारा ड्राइव किए गए मील , तथा संभवतः ड्राइव किए गए स्थान का विवरण रखने - और फिर इस सूचना का उपयोग टैक्स बिल तैयार करने के लिए - सरकार को इन ब्लैक बॉक्स का उपयोग करने की अनुमति देने के पक्ष में समर्थन जुटाने के लिए लिबरेटेरियन पर्यावरणीय समूहों के साथ मिल गए हैं ।"
0.19304869754804482,the tea party is aghast .,चाय की पार्टी बाधित है ।,चाय पार्टी भौचक्की है ।
0.06182741166129023,"the american civil liberties union is deeply concerned , too , raising a variety of privacy issues .","स्मोक सिविल के अपहरण से संबंधित , कई प्रकार की गोपनीयता प्राप्त होती है ।",अमेरिकी नागरिक स्वतंत्रता संघ भी विभिन्न प्रकार के गोपनीयता मुद्दे उठाते हुए बहुत चिंतित है ।
0.05682676011595584,"and while congress can ' t agree on whether to proceed , several states are not waiting .",जब पुनः दान नहीं किया जा सकता है और करते लौ पर कोई भी कार्य नहीं किया जा सकता है तो कई राज्यों को प्रतीक्षा की प्रतीक्षा नहीं कर सकता है ।,"जबकि कांग्रेस इस बात पर सहमत नहीं हो सकी कि आगे की कार्यवाही करनी है या नहीं , बहुत से राज्य प्रतीक्षा नहीं कर रहे ।"
0.06996499610590483,"they are exploring how , over the next decade , they can move to a system in which drivers pay per mile of road they roll over .","वे देख - रेख करते हैं , अगले दशक की तुलना में वे एक प्रणाली की देख - रेख कर सकते हैं , जिनके लिए सड़क की प्रति टन का भुगतान करता है ।","वे यह खोज कर रहे हैं कि अगले दशक में वे किस तरह से ऐसी प्रणाली में जा सकते हैं , जिसमें चालक सड़क पर तय किए गए प्रत्येक मील के लिए भुगतान करे ।"
0.0487506232920401,"thousands of motorists have already taken the black boxes , some of which have gps monitoring , for a test drive .","अब आप पहले से ही काले बक्से तक ले सकते हैं , इनमें से कुछ को हल करने के लिए सिलाई की निगरानी होती है ।","हजारों मोटर - चालकों ने टेस्ट ड्राइव के लिए पहले ही ब्लैक बॉक्स ले लिया है , जिसमें से कुछ में जी . पी . एस . मॉनीटरिंग है ।"
0.39931601353061874,this really is a must for our nation .,यह हमारे देश के लिए है ।,यह हमारे देश के लिए वास्तव में अनिवार्य वस्तु है ।
0.033340490090749596,""" it is not a matter of something we might choose to do , "" said hasan ikhrata , executive director of the southern california assn . of governments , which is planning for the state to start tracking miles driven by every california motorist by 2025 .",""" यह उन किसी मामले का नहीं है जो हम कुछ नहीं कर सकता है , तो यह दक्षिण के दूसरे हिस्से का काम कर रही है , जो इसे प्रत्येक प्रेक्षक द्वारा सड़क चलने के लिए ले जाने की योजना बनाते है ।",""" यह हमारे द्वारा चुने या नहीं चुने जाने का विषय नहीं है "" यह कहना है हसन इखराता का जो दक्षिण कैलीफोर्निया सरकार संघ के कार्यकारी निदेशक हैं , जो वर्ष 2025 तक कैलीफोर्निया में मोटर - चालकों द्वारा तय किए गए प्रत्येक मील को ट्रैक करने की शुरुआत करने की योजना बना रहा है ।"
0.028265205879007455,there is going to be a change in how we pay these taxes .,इन करों का भुगतान किस तरह किया जाना है कि हम इन करों का भुगतान करते हैं ।,हमारे द्वारा कर भुगतान किए जाने के तरीके में परिवर्तन होने जा रहा है ।
0.2705411345269699,the technology is there to do it .,प्रौद्योगिकी इसे यह करने के लिए है ।,ऐसा करने के लिए प्रौद्योगिकी है ।
