bleu,x,y,z
0.05522397783539471,a black box in your car ?,एक काली बक्से का एक काला बक्से ?,आपकी कार में ब्लैक बॉक्स ?
0.06630924289574373,"as america ' s road planners struggle to find the cash to mend a crumbling highway system , many are beginning to see a solution in a little black box that fits neatly by the dashboard of your car .","अमेरिका की सड़क को देखते हुए , जो कि आपकी कार के किसी भी प्रकार की कंपनी को बेचने के लिए होड़े करने के लिए संघर्ष करने लगी थी , बहुत से काले बक्से में , जो कि आपकी कार के किसी भी प्रकार को जाता है ।","जबकि अमेरिका के सड़क योजनाकार , ध्वस्त होते हुए हाईवे सिस्टम को सुधारने के लिए धन की कमी से जूझ रहे हैं , वहीं बहुत - से लोग इसका समाधान छोटे से ब्लैक बॉक्स में देख रहे हैं , जो आपकी कार के डैशबोर्ड पर सफ़ाई से फिट हो जाता है ।"
0.08748964975927,"the devices , which track every mile a motorist drives and transmit that information to bureaucrats , are at the center of a controversial attempt in washington and state planning offices to overhaul the outdated system for funding america ' s major roads .","उपकरणों को , जो हर मील के घुटनेवाला ट्रैक को बाँध देता है और यह सूचना देने के लिए कि नौकरशाह के पास नौकरशाह के नौकरियो से संपर्क करके धन की जानकारी प्राप्त करने के लिए एक विवादास्पद प्रयास के केंद्र में है .","यह डिवाइस , जो मोटर - चालक द्वारा वाहन चलाए गए प्रत्येक मील को ट्रैक करती है तथा उस सूचना को अधिकारियों को संचारित करती है , आजकल अमेरिका की प्रमुख सड़कों का वित्त - पोषण करने के लिए पुराने हो चुके सिस्टम का जीर्णोद्धार करने के लिए वाशिंगटन और राज्य नियोजन कार्यालय के लिए एक विवादास्पद प्रयास का मुद्दा बन चुका है ।"
0.08374861485411045,the usually dull arena of highway planning has suddenly spawned intense debate and colorful alliances .,आम तौर पर राजमार्ग की योजना के अंतर्गत हाइवे स्टेटस की बहुत उमंग होती है ।,आम तौर पर हाईवे नियोजन जैसा उबाऊ काम भी अचानक गहन बहस तथा जीवंत गठबंधनों का मुद्दा बन गया है ।
0.04626582727789121,"libertarians have joined environmental groups in lobbying to allow government to use the little boxes to keep track of the miles you drive , and possibly where you drive them - then use the information to draw up a tax bill .","अगर गाड़ी का इस्तेमाल करने के लिए आपको हवा के अंदर काम करने की जरुरत है , तो उन्हें इस मील का उपयोग करने के लिए कुछ नहीं कहा जा सकता ।","आपने द्वारा ड्राइव किए गए मील , तथा संभवतः ड्राइव किए गए स्थान का विवरण रखने - और फिर इस सूचना का उपयोग टैक्स बिल तैयार करने के लिए - सरकार को इन ब्लैक बॉक्स का उपयोग करने की अनुमति देने के पक्ष में समर्थन जुटाने के लिए लिबरेटेरियन पर्यावरणीय समूहों के साथ मिल गए हैं ।"
0.21364350319811704,the tea party is aghast .,इसकी स्थलाकृति सपाट है ।,चाय पार्टी भौचक्की है ।
0.07352559784980854,"the american civil liberties union is deeply concerned , too , raising a variety of privacy issues .",अमेरिका के नागरिक स्वतंत्रता के बारे में राष्ट्रीय स्वतंत्रता संघ की बड़ी चिंता है .,अमेरिकी नागरिक स्वतंत्रता संघ भी विभिन्न प्रकार के गोपनीयता मुद्दे उठाते हुए बहुत चिंतित है ।
0.07593315751195613,"and while congress can ' t agree on whether to proceed , several states are not waiting .",और जब कांग्रेस सहमत नहीं हो सकती है तो कई राज्यों की प्रतीक्षा नहीं की जा सकती है ।,"जबकि कांग्रेस इस बात पर सहमत नहीं हो सकी कि आगे की कार्यवाही करनी है या नहीं , बहुत से राज्य प्रतीक्षा नहीं कर रहे ।"
0.18116968076513934,"they are exploring how , over the next decade , they can move to a system in which drivers pay per mile of road they roll over .","वे इस तरह से जा सकते हैं कि अगले दशक में , वे एक प्रणाली में किस तरह से सड़कों पर रख सकते हैं ।","वे यह खोज कर रहे हैं कि अगले दशक में वे किस तरह से ऐसी प्रणाली में जा सकते हैं , जिसमें चालक सड़क पर तय किए गए प्रत्येक मील के लिए भुगतान करे ।"
0.04590351850556558,"thousands of motorists have already taken the black boxes , some of which have gps monitoring , for a test drive .","हज़ारों तरह के शोर के लिए काले बक्से के काले बक्से हैं , जिनमें से कुछ एक टेस्ट ड्राइव की निगरानी कर रहे हैं .","हजारों मोटर - चालकों ने टेस्ट ड्राइव के लिए पहले ही ब्लैक बॉक्स ले लिया है , जिसमें से कुछ में जी . पी . एस . मॉनीटरिंग है ।"
0.09027235033938245,this really is a must for our nation .,यह हमारी राष्ट्र के लिए जरूरी है .,यह हमारे देश के लिए वास्तव में अनिवार्य वस्तु है ।
0.005118811581283818,""" it is not a matter of something we might choose to do , "" said hasan ikhrata , executive director of the southern california assn . of governments , which is planning for the state to start tracking miles driven by every california motorist by 2025 .",इस बात के बारे में बताया गया है कि हम दोनों एक - दूसरे के बारे में बात करते हैं ।,""" यह हमारे द्वारा चुने या नहीं चुने जाने का विषय नहीं है "" यह कहना है हसन इखराता का जो दक्षिण कैलीफोर्निया सरकार संघ के कार्यकारी निदेशक हैं , जो वर्ष 2025 तक कैलीफोर्निया में मोटर - चालकों द्वारा तय किए गए प्रत्येक मील को ट्रैक करने की शुरुआत करने की योजना बना रहा है ।"
0.029109678177138974,there is going to be a change in how we pay these taxes .,कि हम इन करों का भुगतान कैसे करेंगे ।,हमारे द्वारा कर भुगतान किए जाने के तरीके में परिवर्तन होने जा रहा है ।
0.17542198478193427,the technology is there to do it .,तकनीक का प्रयोग यहाँ करने के लिए किया जाता है ।,ऐसा करने के लिए प्रौद्योगिकी है ।
