bleu,x,y,z
0.3073940764756322,a black box in your car ?,आपके कार में एक ब्लैक बॉक्स ?,आपकी कार में ब्लैक बॉक्स ?
0.018196044377942644,"as america ' s road planners struggle to find the cash to mend a crumbling highway system , many are beginning to see a solution in a little black box that fits neatly by the dashboard of your car .",अपनी कार की जड़ियों से बचने के लिए एक छोटे से काले बक्से में एक समाधान देखने शुरू कर रहे हैं ।,"जबकि अमेरिका के सड़क योजनाकार , ध्वस्त होते हुए हाईवे सिस्टम को सुधारने के लिए धन की कमी से जूझ रहे हैं , वहीं बहुत - से लोग इसका समाधान छोटे से ब्लैक बॉक्स में देख रहे हैं , जो आपकी कार के डैशबोर्ड पर सफ़ाई से फिट हो जाता है ।"
0.06324480382326664,"the devices , which track every mile a motorist drives and transmit that information to bureaucrats , are at the center of a controversial attempt in washington and state planning offices to overhaul the outdated system for funding america ' s major roads .","डिवाइस , जो हर मील एक दूसरे मील की दूरी पर चलते हैं और उन सूचनाओं को संप्रेषित करते हैं , जो विक्षोभ के लिए सूचना को संप्रेषित करते हैं , एक विवादास्पद प्रयास के केंद्र में हैं , जो कि पुरानी व्यवस्था को नष्ट करने के लिए निराशाजनक प्रयास के केंद्र में है .","यह डिवाइस , जो मोटर - चालक द्वारा वाहन चलाए गए प्रत्येक मील को ट्रैक करती है तथा उस सूचना को अधिकारियों को संचारित करती है , आजकल अमेरिका की प्रमुख सड़कों का वित्त - पोषण करने के लिए पुराने हो चुके सिस्टम का जीर्णोद्धार करने के लिए वाशिंगटन और राज्य नियोजन कार्यालय के लिए एक विवादास्पद प्रयास का मुद्दा बन चुका है ।"
0.04255541381996154,the usually dull arena of highway planning has suddenly spawned intense debate and colorful alliances .,राजमार्ग नियोजन के क्षेत्र में अक्सर इस क्षेत्र में बहुत कम बहस की जाती है ।,आम तौर पर हाईवे नियोजन जैसा उबाऊ काम भी अचानक गहन बहस तथा जीवंत गठबंधनों का मुद्दा बन गया है ।
0.09268234863027174,"libertarians have joined environmental groups in lobbying to allow government to use the little boxes to keep track of the miles you drive , and possibly where you drive them - then use the information to draw up a tax bill .",जिहाद ने जिहाद में पर्यावरण समूहों को भी शामिल कर लिया है ताकि सरकार को अपने पास की दूरी का ट्रैक रखने के लिए छोटे बक्से का उपयोग करने की अनुमति दे दें और संभव है कि आप उन सूचनाओं का इस्तेमाल कर लें जो आप उन्हें चलाते हैं ।,"आपने द्वारा ड्राइव किए गए मील , तथा संभवतः ड्राइव किए गए स्थान का विवरण रखने - और फिर इस सूचना का उपयोग टैक्स बिल तैयार करने के लिए - सरकार को इन ब्लैक बॉक्स का उपयोग करने की अनुमति देने के पक्ष में समर्थन जुटाने के लिए लिबरेटेरियन पर्यावरणीय समूहों के साथ मिल गए हैं ।"
0.25406637407730737,the tea party is aghast .,चाय की पार्टी है ।,चाय पार्टी भौचक्की है ।
0.12111821080874724,"the american civil liberties union is deeply concerned , too , raising a variety of privacy issues .",स्वतंत्रता के लिए नागरिक स्वतंत्रता संघ का बहुत सरोकार है ।,अमेरिकी नागरिक स्वतंत्रता संघ भी विभिन्न प्रकार के गोपनीयता मुद्दे उठाते हुए बहुत चिंतित है ।
0.1403971249528161,"and while congress can ' t agree on whether to proceed , several states are not waiting .",और जब कांग्रेस आगे बढ़ने के बारे में सहमत नहीं हो सकती तो कई राज्य प्रतीक्षा नहीं कर सकते ।,"जबकि कांग्रेस इस बात पर सहमत नहीं हो सकी कि आगे की कार्यवाही करनी है या नहीं , बहुत से राज्य प्रतीक्षा नहीं कर रहे ।"
0.32668878427413106,"they are exploring how , over the next decade , they can move to a system in which drivers pay per mile of road they roll over .",वे यह खोज कर रहे हैं कि अगले दशक में वे एक ऐसी व्यवस्था की ओर ले जा सकते हैं जिस पर ड्राईवर चलाते हैं ।,"वे यह खोज कर रहे हैं कि अगले दशक में वे किस तरह से ऐसी प्रणाली में जा सकते हैं , जिसमें चालक सड़क पर तय किए गए प्रत्येक मील के लिए भुगतान करे ।"
0.12247917878726056,"thousands of motorists have already taken the black boxes , some of which have gps monitoring , for a test drive .","हजारों भनें पहले ही काले बक्से ले चुकी हैं , जिनमें से कुछ को एक टेस्ट ड्राइव के लिए अनुवीक्षण की निगरानी है ।","हजारों मोटर - चालकों ने टेस्ट ड्राइव के लिए पहले ही ब्लैक बॉक्स ले लिया है , जिसमें से कुछ में जी . पी . एस . मॉनीटरिंग है ।"
0.13950796967929135,this really is a must for our nation .,यह वास्तव में हमारे राष्ट्र के लिए एक जरूरी है ।,यह हमारे देश के लिए वास्तव में अनिवार्य वस्तु है ।
0.09077155296696018,""" it is not a matter of something we might choose to do , "" said hasan ikhrata , executive director of the southern california assn . of governments , which is planning for the state to start tracking miles driven by every california motorist by 2025 .","' ' यह कोई बात नहीं है कि हम ऐसा करने के लिए चुन लें , "" ' भारत सरकारों की विभरता , कार्यकारिणी - निदेशक , जो राज्य की योजना बनाने की योजना बना रही है , वह है , जो राज्य की योजना बनाने की योजना बना रहा है .",""" यह हमारे द्वारा चुने या नहीं चुने जाने का विषय नहीं है "" यह कहना है हसन इखराता का जो दक्षिण कैलीफोर्निया सरकार संघ के कार्यकारी निदेशक हैं , जो वर्ष 2025 तक कैलीफोर्निया में मोटर - चालकों द्वारा तय किए गए प्रत्येक मील को ट्रैक करने की शुरुआत करने की योजना बना रहा है ।"
