bleu,x,y,z
0.14535768424205484,a black box in your car ?,अपनी कार में एक काला बक्से ?,आपकी कार में ब्लैक बॉक्स ?
0.04951082853098584,"as america ' s road planners struggle to find the cash to mend a crumbling highway system , many are beginning to see a solution in a little black box that fits neatly by the dashboard of your car .","बैंडिस्ट प्रणाली को अपनाने के लिए कैश की खोज के रूप में , कई लोग एक छोटे से काले बक्से में एक समाधान देखने के लिए शुरू कर रहे हैं जो कि आपकी कार के लिए पागल है .","जबकि अमेरिका के सड़क योजनाकार , ध्वस्त होते हुए हाईवे सिस्टम को सुधारने के लिए धन की कमी से जूझ रहे हैं , वहीं बहुत - से लोग इसका समाधान छोटे से ब्लैक बॉक्स में देख रहे हैं , जो आपकी कार के डैशबोर्ड पर सफ़ाई से फिट हो जाता है ।"
0.06734586991852712,"the devices , which track every mile a motorist drives and transmit that information to bureaucrats , are at the center of a controversial attempt in washington and state planning offices to overhaul the outdated system for funding america ' s major roads .","ऐसे उपकरण जो प्रत्येक हाशिया को एक सिस्टर पर चढ़ाते हैं और बांटने के लिए सूचना देते हैं , यह एक प्रकार के काम करने वाले कार्यालयों और राज्य नियोजन कार्यालयों के लिए एक बन्धक के रूप में होता है जो कि किराये की प्रमुख सड़कों के लिए स्लीपिंग प्रणाली को तैयार करता है ।","यह डिवाइस , जो मोटर - चालक द्वारा वाहन चलाए गए प्रत्येक मील को ट्रैक करती है तथा उस सूचना को अधिकारियों को संचारित करती है , आजकल अमेरिका की प्रमुख सड़कों का वित्त - पोषण करने के लिए पुराने हो चुके सिस्टम का जीर्णोद्धार करने के लिए वाशिंगटन और राज्य नियोजन कार्यालय के लिए एक विवादास्पद प्रयास का मुद्दा बन चुका है ।"
0.03899007323276132,the usually dull arena of highway planning has suddenly spawned intense debate and colorful alliances .,इस तरह की योजना बनाने के लिए आमतौर पर यह बात बहुत कम है ।,आम तौर पर हाईवे नियोजन जैसा उबाऊ काम भी अचानक गहन बहस तथा जीवंत गठबंधनों का मुद्दा बन गया है ।
0.01976718474567484,"libertarians have joined environmental groups in lobbying to allow government to use the little boxes to keep track of the miles you drive , and possibly where you drive them - then use the information to draw up a tax bill .",इस तरह के काम करने के लिए यह सूचना दी जा सकती है कि वे किस तरह से काम कर रहे हैं ।,"आपने द्वारा ड्राइव किए गए मील , तथा संभवतः ड्राइव किए गए स्थान का विवरण रखने - और फिर इस सूचना का उपयोग टैक्स बिल तैयार करने के लिए - सरकार को इन ब्लैक बॉक्स का उपयोग करने की अनुमति देने के पक्ष में समर्थन जुटाने के लिए लिबरेटेरियन पर्यावरणीय समूहों के साथ मिल गए हैं ।"
0.18575057999133598,the tea party is aghast .,चाय पार्टी का काम होता है ।,चाय पार्टी भौचक्की है ।
0.16307232590573298,"the american civil liberties union is deeply concerned , too , raising a variety of privacy issues .",दीवानी का शिकार संघ भी बहुत चिंतित है ।,अमेरिकी नागरिक स्वतंत्रता संघ भी विभिन्न प्रकार के गोपनीयता मुद्दे उठाते हुए बहुत चिंतित है ।
0.16884045050147137,"and while congress can ' t agree on whether to proceed , several states are not waiting .",और जब कांग्रेस आगे बढ़ने के लिए सहमत नहीं है तो कई राज्य प्रतीक्षा नहीं कर रहे हैं ।,"जबकि कांग्रेस इस बात पर सहमत नहीं हो सकी कि आगे की कार्यवाही करनी है या नहीं , बहुत से राज्य प्रतीक्षा नहीं कर रहे ।"
0.18617148154985497,"they are exploring how , over the next decade , they can move to a system in which drivers pay per mile of road they roll over .","वे यह भी कह रहे हैं कि अगले दशक के दौरान , वे एक ऐसी प्रणाली के लिए जा सकते हैं जिसमें वे ऊपर की सड़क पर दाखिला देते हैं .","वे यह खोज कर रहे हैं कि अगले दशक में वे किस तरह से ऐसी प्रणाली में जा सकते हैं , जिसमें चालक सड़क पर तय किए गए प्रत्येक मील के लिए भुगतान करे ।"
0.1087105804905052,"thousands of motorists have already taken the black boxes , some of which have gps monitoring , for a test drive .","हजारों लोग पहले ही काले बक्से ले चुके हैं , जिनमें से कुछ एक टेस्ट ड्राइव के लिए हैं ।","हजारों मोटर - चालकों ने टेस्ट ड्राइव के लिए पहले ही ब्लैक बॉक्स ले लिया है , जिसमें से कुछ में जी . पी . एस . मॉनीटरिंग है ।"
