bleu,x,y,z
0.0,a black box in your car ?,तो तुम उससे बेरूख़ी करते हो,आपकी कार में ब्लैक बॉक्स ?
0.010651897894081651,"as america ' s road planners struggle to find the cash to mend a crumbling highway system , many are beginning to see a solution in a little black box that fits neatly by the dashboard of your car .",और ( ऐ रसूल ) तुम ( इनसे ) मिसाल के तौर पर एक गाँव ( अता किया ) वालों का क़िस्सा बयान करो यही वह लोग हैं जिनका ठिकाना उनकी करतूत की बदौलत तुम ( उससे ) नाखुश हो,"जबकि अमेरिका के सड़क योजनाकार , ध्वस्त होते हुए हाईवे सिस्टम को सुधारने के लिए धन की कमी से जूझ रहे हैं , वहीं बहुत - से लोग इसका समाधान छोटे से ब्लैक बॉक्स में देख रहे हैं , जो आपकी कार के डैशबोर्ड पर सफ़ाई से फिट हो जाता है ।"
0.025023159005434392,"the devices , which track every mile a motorist drives and transmit that information to bureaucrats , are at the center of a controversial attempt in washington and state planning offices to overhaul the outdated system for funding america ' s major roads .","प्रत्येक समुदाय के लिए एक नियत अवधि है । फिर जो किताब हमने उन्हें दिया है , उसमें से छिपे और खुले ख़र्च करें , वे विभिन्न मार्गों पर है","यह डिवाइस , जो मोटर - चालक द्वारा वाहन चलाए गए प्रत्येक मील को ट्रैक करती है तथा उस सूचना को अधिकारियों को संचारित करती है , आजकल अमेरिका की प्रमुख सड़कों का वित्त - पोषण करने के लिए पुराने हो चुके सिस्टम का जीर्णोद्धार करने के लिए वाशिंगटन और राज्य नियोजन कार्यालय के लिए एक विवादास्पद प्रयास का मुद्दा बन चुका है ।"
0.013353534059549447,the usually dull arena of highway planning has suddenly spawned intense debate and colorful alliances .,ताकि अपने ( दुनिया व आखेरत के ) फायदो पर फायज़ हों और जो शुबहे ये लोग कर रहे हैं ( वह सब मिटिया मेट हो जाएगा ),आम तौर पर हाईवे नियोजन जैसा उबाऊ काम भी अचानक गहन बहस तथा जीवंत गठबंधनों का मुद्दा बन गया है ।
0.0099721312542854,"libertarians have joined environmental groups in lobbying to allow government to use the little boxes to keep track of the miles you drive , and possibly where you drive them - then use the information to draw up a tax bill .",और हर गिरोह ( के न पैदा होने ) का एक ख़ास वक्त है फिर तुम लोग उसके फज़ल ( नफा तिजारत ) की तलाश करो और ताकि तुम को वहाँ से ( शाम की तरफ ) निकाल बाहर करें और ऐसा करोगे कि तुम को एक उनवाने शाइस्ता से ( उनवाने शाइस्ता से ) रोक दे,"आपने द्वारा ड्राइव किए गए मील , तथा संभवतः ड्राइव किए गए स्थान का विवरण रखने - और फिर इस सूचना का उपयोग टैक्स बिल तैयार करने के लिए - सरकार को इन ब्लैक बॉक्स का उपयोग करने की अनुमति देने के पक्ष में समर्थन जुटाने के लिए लिबरेटेरियन पर्यावरणीय समूहों के साथ मिल गए हैं ।"
0.0,the tea party is aghast .,तो ( ऐ रसूल ) तुम भी एक न एक दिन की तरफ मुतावज्जे होंगे,चाय पार्टी भौचक्की है ।
0.0,"the american civil liberties union is deeply concerned , too , raising a variety of privacy issues .",( यानि ) पसन्दीदा मक़ाम में हर तरह की कुदरत रखने वाले बादशाह की बारगाह में ( मुक़र्रिब ) होंगे,अमेरिकी नागरिक स्वतंत्रता संघ भी विभिन्न प्रकार के गोपनीयता मुद्दे उठाते हुए बहुत चिंतित है ।
0.023544693776604016,"and while congress can ' t agree on whether to proceed , several states are not waiting .","और यह कि हर ओर से एकाग्र होकर अपना रुख़ इस धर्म की ओर कर लो और मुशरिक़ों में कदापि सम्मिलित न हो ,","जबकि कांग्रेस इस बात पर सहमत नहीं हो सकी कि आगे की कार्यवाही करनी है या नहीं , बहुत से राज्य प्रतीक्षा नहीं कर रहे ।"
0.01576339526162221,"they are exploring how , over the next decade , they can move to a system in which drivers pay per mile of road they roll over .",और उन लोगों पर ( क़यामत का ) वायदा पूरा हो गया फिर ये लोग उसके दुनिया में सब्र करते हैं और गुस्से को रोकते हैं और शराब के लबरेज़ साग़र,"वे यह खोज कर रहे हैं कि अगले दशक में वे किस तरह से ऐसी प्रणाली में जा सकते हैं , जिसमें चालक सड़क पर तय किए गए प्रत्येक मील के लिए भुगतान करे ।"
0.003530350790343408,"thousands of motorists have already taken the black boxes , some of which have gps monitoring , for a test drive .",और हर छोटी और बड़ी चीज़ लिखित है,"हजारों मोटर - चालकों ने टेस्ट ड्राइव के लिए पहले ही ब्लैक बॉक्स ले लिया है , जिसमें से कुछ में जी . पी . एस . मॉनीटरिंग है ।"
