bleu,x,y,z
0.18575057999133598,a black box in your car ?,अपने कार में एक एक्सपोनेंट बॉक्स ?,आपकी कार में ब्लैक बॉक्स ?
0.019554125187666027,"as america ' s road planners struggle to find the cash to mend a crumbling highway system , many are beginning to see a solution in a little black box that fits neatly by the dashboard of your car .",के रूप में मनोरंजन के लिए एक तिजोरी के लिए एक छोटा सा है कि अस्तित्व कि अपने कार से व्यवहार के लिए व्यवहार की है ।,"जबकि अमेरिका के सड़क योजनाकार , ध्वस्त होते हुए हाईवे सिस्टम को सुधारने के लिए धन की कमी से जूझ रहे हैं , वहीं बहुत - से लोग इसका समाधान छोटे से ब्लैक बॉक्स में देख रहे हैं , जो आपकी कार के डैशबोर्ड पर सफ़ाई से फिट हो जाता है ।"
0.02016807177728509,"the devices , which track every mile a motorist drives and transmit that information to bureaucrats , are at the center of a controversial attempt in washington and state planning offices to overhaul the outdated system for funding america ' s major roads .","उपकरणों , जो हर मील एक कारखाने के लिए का पालन कर रहे हैं और है कि जानकारी के लिए , एक तिजोरी के केंद्र में संलग्न कर रहे हैं के केंद्र में सुधार है .","यह डिवाइस , जो मोटर - चालक द्वारा वाहन चलाए गए प्रत्येक मील को ट्रैक करती है तथा उस सूचना को अधिकारियों को संचारित करती है , आजकल अमेरिका की प्रमुख सड़कों का वित्त - पोषण करने के लिए पुराने हो चुके सिस्टम का जीर्णोद्धार करने के लिए वाशिंगटन और राज्य नियोजन कार्यालय के लिए एक विवादास्पद प्रयास का मुद्दा बन चुका है ।"
0.020483489079410895,the usually dull arena of highway planning has suddenly spawned intense debate and colorful alliances .,स्वचालित रूप से डाउनलोड प्रदर्शन के बारे में पढ़िए है और leveling समाचार ।,आम तौर पर हाईवे नियोजन जैसा उबाऊ काम भी अचानक गहन बहस तथा जीवंत गठबंधनों का मुद्दा बन गया है ।
0.05169793122290173,"libertarians have joined environmental groups in lobbying to allow government to use the little boxes to keep track of the miles you drive , and possibly where you drive them - then use the information to draw up a tax bill .","मैक्रो पर्यावरण की अनुमति के लिए स्वचालित रूप से छोटे बक्से का उपयोग करने के लिए आप , और संभवतः है जहां आप उन्हें आकर्षित करने के लिए अपने - तो का उपयोग कर","आपने द्वारा ड्राइव किए गए मील , तथा संभवतः ड्राइव किए गए स्थान का विवरण रखने - और फिर इस सूचना का उपयोग टैक्स बिल तैयार करने के लिए - सरकार को इन ब्लैक बॉक्स का उपयोग करने की अनुमति देने के पक्ष में समर्थन जुटाने के लिए लिबरेटेरियन पर्यावरणीय समूहों के साथ मिल गए हैं ।"
0.21364350319811704,the tea party is aghast .,शैर डाउनलोड किया है ।,चाय पार्टी भौचक्की है ।
0.029083177105737577,"the american civil liberties union is deeply concerned , too , raising a variety of privacy issues .","लॉकिंग तक लॉकिंग तक डाउनलोड किया है , बहुत , लिंग की एक भूमिका है .",अमेरिकी नागरिक स्वतंत्रता संघ भी विभिन्न प्रकार के गोपनीयता मुद्दे उठाते हुए बहुत चिंतित है ।
0.0708049416490043,"and while congress can ' t agree on whether to proceed , several states are not waiting .","और जब तक कि क्या आगे बढ़ने के लिए नहीं कर सकते हैं , कई स्थानों पर बर्दाश्त नहीं कर रहे हैं ।","जबकि कांग्रेस इस बात पर सहमत नहीं हो सकी कि आगे की कार्यवाही करनी है या नहीं , बहुत से राज्य प्रतीक्षा नहीं कर रहे ।"
0.11110969989860409,"they are exploring how , over the next decade , they can move to a system in which drivers pay per mile of road they roll over .","वे कब कर रहे हैं , अगले डॉलर पर , वे जो ब्लॉक की एक प्रणाली का भुगतान करने के लिए ले जा सकते हैं , वे एक प्रणाली की एक प्रणाली के लिए ले जा सकते हैं","वे यह खोज कर रहे हैं कि अगले दशक में वे किस तरह से ऐसी प्रणाली में जा सकते हैं , जिसमें चालक सड़क पर तय किए गए प्रत्येक मील के लिए भुगतान करे ।"
0.09338343441919915,"thousands of motorists have already taken the black boxes , some of which have gps monitoring , for a test drive .","राजनीतिक स के पहले से ही ले लिया है , जो प्रतिततकों के लिए है ।","हजारों मोटर - चालकों ने टेस्ट ड्राइव के लिए पहले ही ब्लैक बॉक्स ले लिया है , जिसमें से कुछ में जी . पी . एस . मॉनीटरिंग है ।"
